PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	BOKLAGE, CE								CELLULAR MECHANISMS FOR HERITABLY TRANSMITTING STRUCTURAL INFORMATION								BEHAVIORAL AND BRAIN SCIENCES				1	2			282	286		10.1017/S0140525X00074550			1978	1978										3									
J	BOLANOWSKI, SJ								LOCKHEAD VIEW OF SCALING - SOMETHINGS FISHY HERE								BEHAVIORAL AND BRAIN SCIENCES				15	3			560	560		10.1017/S0140525X0006996X			SEP 1992	1992										1									
J	BOLHUIS, J; JOHNSON, M								SENSORY TEMPLATES - MECHANISM OR METAPHOR								BEHAVIORAL AND BRAIN SCIENCES				14	2			349	349		10.1017/S0140525X00067030			JUN 1991	1991										2									
J	BOLLER, F								PHRENOLOGY, 1982 - WHAT DOES IT TELL THE APHASIOLOGIST								BEHAVIORAL AND BRAIN SCIENCES				6	2			207	207		10.1017/S0140525X00015508			1983	1983										1									
J	BOLLER, F								A NEUROLOGIST LOOKS AT SCHIZOPHASIA								BEHAVIORAL AND BRAIN SCIENCES				5	4			591	592					1982	1982										1									
J	BOLLES, RC								THE RESPONSE PROBLEM								BEHAVIORAL AND BRAIN SCIENCES				17	1			135	136		10.1017/S0140525X0003363X			MAR 1994	1994										1									
J	BOLLES, RC								THE BATHWATER AND EVERYTHING								BEHAVIORAL AND BRAIN SCIENCES				11	3			449	450		10.1017/S0140525X00058295			SEP 1988	1988										1									
J	BOLLES, RC								ON THE STATUS OF CAUSAL MODES								BEHAVIORAL AND BRAIN SCIENCES				7	4			482	483		10.1017/S0140525X00026753			1984	1984										2									
J	BOLLES, RC								A PARALLEL TO DOMINANCE COMPETITION								BEHAVIORAL AND BRAIN SCIENCES				4	3			433	434		10.1017/S0140525X00009663			1981	1981										3									
J	BOLLES, RC; FANSELOW, MS								A PERCEPTUAL-DEFENSIVE-RECUPERATIVE MODEL OF FEAR AND PAIN								BEHAVIORAL AND BRAIN SCIENCES				3	2			291	301		10.1017/S0140525X0000491X			1980	1980										554									
J	BOLLES, RC; FANSELOW, MS								PDR - A MULTILEVEL MODEL OF FEAR AND PAIN								BEHAVIORAL AND BRAIN SCIENCES				3	2			315	319		10.1017/S0140525X00005136			1980	1980										2									
J	BOLLES, RC								THE FUNCTIONAL-SIGNIFICANCE OF BEHAVIOR								BEHAVIORAL AND BRAIN SCIENCES				2	1			29	30		10.1017/S0140525X00060465			1979	1979										1									
J	BOLLES, RC								TOY RATS AND REAL RATS - NON-HOMEOSTATIC PLASTICITY IN DRINKING								BEHAVIORAL AND BRAIN SCIENCES				2	1			103	103		10.1017/S0140525X00061070			1979	1979										3									
J	BOLLES, RC								THE NONEXTINCTION OF FEAR - OPERATION BOOTSTRAP								BEHAVIORAL AND BRAIN SCIENCES				2	2			167	168		10.1017/S0140525X00061677			1979	1979										1									
J	BOLWIG, TG								ECT - WANTED AND UNWANTED EFFECTS								BEHAVIORAL AND BRAIN SCIENCES				7	1			23	24		10.1017/S0140525X00025905			1984	1984										1									
J	Bonaiuto, James								Associative learning is necessary but not sufficient for mirror neuron development								BEHAVIORAL AND BRAIN SCIENCES				37	2			194	195		10.1017/S0140525X13002227			APR 2014	2014										1									
J	Bonanno, George A.								The illusion of repressed memory								BEHAVIORAL AND BRAIN SCIENCES				29	5			515	+		10.1017/S0140525X06259119			OCT 2006	2006										5									
J	Bond, AH; Raleigh, M								The integration of motivation								BEHAVIORAL AND BRAIN SCIENCES				22	3			518	519		10.1017/S0140525X99222042			JUN 1999	1999										1									
J	Bond, NW								Who's zooming who?								BEHAVIORAL AND BRAIN SCIENCES				28	2			278	+		10.1017/S0140525X05250057			APR 2005	2005										1									
J	Bonmassar, G; Schwartz, EL								Representation is space-variant								BEHAVIORAL AND BRAIN SCIENCES				21	4			469	+		10.1017/S0140525X98241252			AUG 1998	1998										1									
J	BONNARD, M; PAILHOUS, J								A FEW REASONS WHY PSYCHOLOGISTS CAN ADHERE TO FELDMAN AND LEVIN MODEL								BEHAVIORAL AND BRAIN SCIENCES				18	4			746	747		10.1017/S0140525X00040735			DEC 1995	1995										1									
J	Bonnefon, Jean-Francois; Hopfensitz, Astrid; De Neys, Wim								Trustworthiness perception at zero acquaintance: Consensus, accuracy, and prejudice								BEHAVIORAL AND BRAIN SCIENCES				40				24	25	e4	10.1017/S0140525X15002319			2017	2017										1									
J	Bonnefon, Jean-Francois								Norms for reasoning about decisions								BEHAVIORAL AND BRAIN SCIENCES				34	5			249	250		10.1017/S0140525X11000100			OCT 2011	2011										2									
J	Bonnefon, Jean-Francois								Reasons to act and the mental representation of consequentialist aberrations								BEHAVIORAL AND BRAIN SCIENCES				30	5-6			453	+		10.1017/S0140525X07002592			OCT-DEC 2007	2007										1									
J	BONNET, C								PSYCHOPHYSICAL SCALING WITHIN AN INFORMATION-PROCESSING APPROACH								BEHAVIORAL AND BRAIN SCIENCES				15	3			560	561		10.1017/S0140525X00069971			SEP 1992	1992										7									
J	Booij, G								Lexical storage and regular processes								BEHAVIORAL AND BRAIN SCIENCES				22	6			1016	+		10.1017/S0140525X99242227			DEC 1999	1999										2									
J	Bookstein, FL								Statistical significance testing was not meant for weak corroborations of weaker theories								BEHAVIORAL AND BRAIN SCIENCES				21	2			195	+		10.1017/S0140525X98241161			APR 1998	1998										1									
J	BOOKSTEIN, FL								CONVERTING CULTURAL SUCCESS INTO MATING FAILURE BY AGING								BEHAVIORAL AND BRAIN SCIENCES				16	2			285	286		10.1017/S0140525X00029964			JUN 1993	1993										2									
J	BOOKSTEIN, FL								ERROR ANALYSIS, REGRESSION, AND COORDINATE SYSTEMS								BEHAVIORAL AND BRAIN SCIENCES				15	2			327	329		10.1017/S0140525X00068886			JUN 1992	1992										5									
J	BOOKSTEIN, FL								HERITABILITY OF WHAT - COMMENT								BEHAVIORAL AND BRAIN SCIENCES				14	3			387	388		10.1017/S0140525X00070291			SEP 1991	1991										1									
J	BOOKSTEIN, FL								OPTIMALITY AS A MATHEMATICAL RHETORIC FOR ZEROS - A COMMENTARY								BEHAVIORAL AND BRAIN SCIENCES				14	2			216	216		10.1017/S0140525X00066176			JUN 1991	1991										1									
J	BOOLOS, G								ON SEEING THE TRUTH OF THE GODEL SENTENCE								BEHAVIORAL AND BRAIN SCIENCES				13	4			655	655		10.1017/S0140525X00080687			DEC 1990	1990										6									
J	BOOMSMA, DI								ABSENCE OR UNDERESTIMATION OF SHARED ENVIRONMENT								BEHAVIORAL AND BRAIN SCIENCES				10	1			19	20		10.1017/S0140525X00055989			MAR 1987	1987										4									
J	Boorsboom, D.; Cramer, A.; Kalis, A.								Brain disorders? Not really... . Why network structures block reductionism in psychopathology research								Behavioral and Brain Sciences											DOI 10.1017/SO140525K17002266				2018										1									
J	Booth, A; Mazur, A								Old issues and new perspectives on testosterone research - Response								BEHAVIORAL AND BRAIN SCIENCES				21	3			386	397		10.1017/S0140525X98511223			JUN 1998	1998										5									
J	BOOTH, DA								RECOGNITION OF OBJECTS BY PHYSICAL ATTRIBUTES								BEHAVIORAL AND BRAIN SCIENCES				17	4			759	760		10.1017/S0140525X00037055			DEC 1994	1994										3									
J	BOOTH, DA								IS THIRST LARGELY AN ACQUIRED SPECIFIC APPETITE								BEHAVIORAL AND BRAIN SCIENCES				2	1			103	104		10.1017/S0140525X00061082			1979	1979										5									
J	Booth, David A.								Salty, bitter, sweet and sour survive unscathed								BEHAVIORAL AND BRAIN SCIENCES				31	1			76	+		10.1017/S0140525X08003361			FEB 2008	2008										3									
J	Borbely, AA; Wittmann, L								Sleep, not REM sleep, is the royal road to dreams								BEHAVIORAL AND BRAIN SCIENCES				23	6			911	+		10.1017/S0140525X00254022			DEC 2000	2000										2									
J	BORBELY, AA								SLEEP HOMEOSTASIS								BEHAVIORAL AND BRAIN SCIENCES				9	3			401	401		10.1017/S0140525X00046239			SEP 1986	1986										1									
J	BORBELY, AA								ACTIVE WAKEFULNESS AND PARADOXICAL SLEEP - COMMON MECHANISMS								BEHAVIORAL AND BRAIN SCIENCES				1	3			487	487		10.1017/S0140525X00076147			1978	1978										2									
J	Borer, H								Access to Universal Grammar: The real issues								BEHAVIORAL AND BRAIN SCIENCES				19	4			718	&		10.1017/S0140525X00043582			DEC 1996	1996										5									
J	BORER, KT								NEUROENDOCRINE LIPOSTAT IS NOT CONFINED TO THE VENTROMEDIAL HYPOTHALAMUS								BEHAVIORAL AND BRAIN SCIENCES				4	4			577	578		10.1017/S0140525X00000273			1981	1981										2									
J	BORG, G								PSYCHOPHYSICAL SCALING - TO DESCRIBE RELATIONS OR TO UNCOVER A LAW								BEHAVIORAL AND BRAIN SCIENCES				15	3			561	562		10.1017/S0140525X00069983			SEP 1992	1992										1									
J	BORGIA, G								TYPOLOGY AND HUMAN MATING PREFERENCES								BEHAVIORAL AND BRAIN SCIENCES				12	1			16	17		10.1017/S0140525X0002402X			MAR 1989	1989										3									
J	Borisyuk, R; Borisyuk, G; Kazanovich, Y								Synchronization of neural activity and information processing								BEHAVIORAL AND BRAIN SCIENCES				21	6			833	+		10.1017/S0140525X98241768			DEC 1998	1998										7									
J	BORKENAU, P								THE CRUCIAL STUDIES HAVE STILL TO BE DONE								BEHAVIORAL AND BRAIN SCIENCES				15	1			93	&		10.1017/S0140525X00067625			MAR 1992	1992										4									
J	BORKOWSKI, JG; MAXWELL, SE								LOOKING FOR GOOD-G - GENERAL INTELLIGENCE AND PROCESSING SPEED								BEHAVIORAL AND BRAIN SCIENCES				8	2			221	222		10.1017/S0140525X00020422			1985	1985										1									
J	Born, J; Gais, S								REM sleep deprivation: The wrong paradigm leading to wrong conclusions								BEHAVIORAL AND BRAIN SCIENCES				23	6			912	+		10.1017/S0140525X00264029			DEC 2000	2000										25									
J	Bornstein, Marc H.; Esposito, Gianluca								Beyond cry and laugh: Toward a multilevel model of language production								BEHAVIORAL AND BRAIN SCIENCES				37	6						10.1017/S0140525X13003968			DEC 2014	2014										2									
J	Bornstein, MH								Selective vision								BEHAVIORAL AND BRAIN SCIENCES				20	2			180	&		10.1017/S0140525X97231420			JUN 1997	1997										4									
J	Bornstein, RF								Unconscious motivation and phenomenal knowledge: Toward a comprehensive theory of implicit mental states								BEHAVIORAL AND BRAIN SCIENCES				22	5			758	+		10.1017/S0140525X99252181			OCT 1999	1999										2									
J	Bornstein, RF								Varieties of self-deception								BEHAVIORAL AND BRAIN SCIENCES				20	1			108	&		10.1017/S0140525X97280039			MAR 1997	1997										1									
J	BORNSTEIN, RF								ARE SUBLIMINAL MERE EXPOSURE EFFECTS A FORM OF IMPLICIT LEARNING								BEHAVIORAL AND BRAIN SCIENCES				17	3			398	399		10.1017/S0140525X0003507X			SEP 1994	1994										1									
J	BORNSTEIN, RF								THE PREDICTIVE-VALIDITY OF PEER-REVIEW - A NEGLECTED ISSUE								BEHAVIORAL AND BRAIN SCIENCES				14	1			138	138		10.1017/S0140525X00065717			MAR 1991	1991										16									
J	Bornstein, Robert F.								The rocky road from Axis I to Axis II: Extending the network model of diagnostic comorbidity to personality pathology								BEHAVIORAL AND BRAIN SCIENCES				33	2-3			151	+		10.1017/S0140525X10000592			APR-JUN 2010	2010										4									
J	Boroditsky, L; Ramscar, M								"First, we assume a spherical cow ..."								BEHAVIORAL AND BRAIN SCIENCES				24	4			656	657		10.1017/S0140525X01240084			AUG 2001	2001										3									
J	Borsboom,, D.; Cramer,, A. O. J.; Kalis,, A.								Brain disorders? Not really: Why network structures block reductionism in psychopathology research								Behavioral and Brain Sciences				42	e2			1	63						2019										1									
J	Borsboom, D.; Cramer, A. O.; Kalis, A.								Brain disorders? Not really: Why network structures block reductionism in psychopathology research								Behavioral and Brain Sciences				24				1	54						2019										1									
J	Borsboom, Denny; Cramer, Angelique O. J.; Kalis, Annemarie								Brain disorders? Not really: Why network structures block reductionism in psychopathology research								BEHAVIORAL AND BRAIN SCIENCES				42						e2	10.1017/S0140525X17002266			2019	2019										29									
J	Borsboom, Denny; Wagenmakers, Eric-Jan; Romeijn, Jan-Willem								Mechanistic curiosity will not kill the Bayesian cat								BEHAVIORAL AND BRAIN SCIENCES				34	4			192	+		10.1017/S0140525X11000215			AUG 2011	2011										1									
J	Borsboom, Denny; Visser, Ingmar								Semantic cognition or data mining?								BEHAVIORAL AND BRAIN SCIENCES				31	6			714	+		10.1017/S0140525X08005906			DEC 2008	2008										1									
J	Borsboom, Denny								Evolutionary theory and the riddle of the universe								BEHAVIORAL AND BRAIN SCIENCES				29	4			351	+		10.1017/S0140525X06269085			AUG 2006	2006										2									
J	Bortfeld, H								Which came first: Infants learning language or motherese?								BEHAVIORAL AND BRAIN SCIENCES				27	4			505	+		10.1017/S0140525X04240110			AUG 2004	2004										1									
J	Bos, Peter A.; Brummelman, Eddie; Terburg, David								Cognition as the tip of the emotional iceberg: A neuro-evolutionary perspective								BEHAVIORAL AND BRAIN SCIENCES				38						e72	10.1017/S0140525X14000879			2015	2015										2									
J	Bosman, C; Lopez, V; Aboitiz, F								Sharpening Occam's razor: Is there need for a hand-signing stage prior to vocal communication?								BEHAVIORAL AND BRAIN SCIENCES				28	2			128	+		10.1017/S0140525X05250033			APR 2005	2005										4									
J	Bosman, C; Brunetti, E; Aboitiz, F								Schizophrenia is a disease of general connectivity more than a specifically "social brain" network								BEHAVIORAL AND BRAIN SCIENCES				27	6			856	+		10.1017/S0140525X04230199			DEC 2004	2004										2									
J	Bota, M								From axis to triangle: The role of orbital cortex								BEHAVIORAL AND BRAIN SCIENCES				26	5			552	+		10.1017/S0140525X03220124			OCT 2003	2003										1									
J	Botterell, A								Colors as explainers?								BEHAVIORAL AND BRAIN SCIENCES				26	6			785	+		10.1017/S0140525X03210189			DEC 2003	2003										1									
J	Botvinick, Matthew; Barrett, David G. T.; Battaglia, Peter; de Freitas, Nando; Kumaran, Darshan; Leibo, Joel Z.; Lillicrap, Timothy; Modayil, Joseph; Mohamed, Shakir; Rabinowitz, Neil C.; Rezende, Danilo J.; Santoro, Adam; Schaul, Tom; Summerfield, Christopher; Wayne, Greg; Weber, Theophane; Wierstra, Daan; Legg, Shane; Hassabis, Demis								Building machines that learn and think for themselves								BEHAVIORAL AND BRAIN SCIENCES				40						e255	10.1017/S0140525X17000048			2017	2017										5									
J	Boucher, J								Time and the implicit-explicit continuum								BEHAVIORAL AND BRAIN SCIENCES				22	5			758	+		10.1017/S0140525X99262188			OCT 1999	1999										1									
J	Bouissac, P								Hoarding behavior: A better evolutionary account of money psychology?								BEHAVIORAL AND BRAIN SCIENCES				29	2			181	+		10.1017/S0140525X06289040			APR 2006	2006										1									
J	Bouissac, P								How plausible is the motherese hypothesis?								BEHAVIORAL AND BRAIN SCIENCES				27	4			506	+		10.1017/S0140525X04250117			AUG 2004	2004										2									
J	Bouisset, S								Posturo-kinetic capacity in the disabled								BEHAVIORAL AND BRAIN SCIENCES				19	1			71	&		10.1017/S0140525X00041509			MAR 1996	1996										2									
J	BOULTON, AA								THE TRACE AMINES - NEUROHUMORS (CYTOSOLIC, PRE-SYNAPTIC AND-OR POST-SYNAPTIC, SECONDARY, INDIRECT)								BEHAVIORAL AND BRAIN SCIENCES				2	3			418	418		10.1017/S0140525X00063354			1979	1979										8									
J	BOVET, P								THE ADAPTIVE FITNESS OF RANDOMNESS IN CHOICE AND FORAGING BEHAVIOR								BEHAVIORAL AND BRAIN SCIENCES				8	2			331	331		10.1017/S0140525X00020860			1985	1985										1									
J	Bower, JM								What do parallel fibers do?								BEHAVIORAL AND BRAIN SCIENCES				20	2			247	&		10.1017/S0140525X97241439			JUN 1997	1997										2									
J	Bower, JM								Perhaps it's time to completely rethink cerebellar function								BEHAVIORAL AND BRAIN SCIENCES				19	3			438	&		10.1017/S0140525X00081553			SEP 1996	1996										8									
J	BOWER, JM								IS THE CEREBELLUM A MOTOR CONTROL DEVICE								BEHAVIORAL AND BRAIN SCIENCES				15	4			714	715					DEC 1992	1992										7									
J	Bowers, Jeffrey S.; Davis, Colin J.								More varieties of Bayesian theories, but no enlightenment								BEHAVIORAL AND BRAIN SCIENCES				34	4			193	+		10.1017/S0140525X11000227			AUG 2011	2011										2									
J	Bowers, JS								The visual categories for letters and words reside outside any informationally encapsulated perceptual system								BEHAVIORAL AND BRAIN SCIENCES				22	3			368	+		10.1017/S0140525X99242021			JUN 1999	1999										1									
J	Bowers, JS								Grossberg and colleagues solved the hyperonym problem over a decade ago								BEHAVIORAL AND BRAIN SCIENCES				22	1			38	+		10.1017/S0140525X99221772			FEB 1999	1999										2									
J	BOWERS, KS								(UN)CONSCIOUS INFLUENCES IN EVERYDAY LIFE AND COGNITIVE RESEARCH								BEHAVIORAL AND BRAIN SCIENCES				14	4			672	672		10.1017/S0140525X00071806			DEC 1991	1991										1									
J	BOWERS, KS; DAVIDSON, TM								ON THE IMPORTANCE OF INDIVIDUAL-DIFFERENCES IN HYPNOTIC ABILITY								BEHAVIORAL AND BRAIN SCIENCES				9	3			468	469		10.1017/S0140525X00046550			SEP 1986	1986										1									
J	BOWERS, PG								UNDERSTANDING REPORTS OF NON-VOLITION								BEHAVIORAL AND BRAIN SCIENCES				9	3			469	470		10.1017/S0140525X00046562			SEP 1986	1986										4									
J	BOWLBY, J								THE BOWLBY-AINSWORTH ATTACHMENT THEORY								BEHAVIORAL AND BRAIN SCIENCES				2	4			637	638		10.1017/S0140525X00064955			1979	1979										14									
J	Bowles, S								Economic institutions as ecological niches								BEHAVIORAL AND BRAIN SCIENCES				23	1			148	+		10.1017/S0140525X00252412			FEB 2000	2000										8									
J	Bowles, Samuel; Boyd, Robert; Mathew, Sarah; Richerson, Peter J.								The punishment that sustains cooperation is often coordinated and costly								BEHAVIORAL AND BRAIN SCIENCES				35	1						10.1017/S0140525X1100118X			FEB 2012	2012										4									
J	Bowman, Howard; Filetti, Marco; Wyble, Brad; Olivers, Christian								Attention is more than prediction precision								BEHAVIORAL AND BRAIN SCIENCES				36	3			206	208		10.1017/S0140525X12002324			JUN 2013	2013										8									
J	BOWNDS, MD; ARSHAVSKY, VY								WHAT ARE THE MECHANISMS OF PHOTORECEPTOR ADAPTATION								BEHAVIORAL AND BRAIN SCIENCES				18	3			415	424		10.1017/S0140525X00039170			SEP 1995	1995										39									
J	BOWSHER, D								DUAL MECHANISM OF PAIN								BEHAVIORAL AND BRAIN SCIENCES				3	2			303	304		10.1017/S0140525X00004969			1980	1980										1									
J	Boyer, P.; Lienard, P.								Why ritualized behavior? Precaution systems and action parsing in developmental, pathological and cultural rituals								Behavioral and Brain Sciences				29	06			1	56						2007										2									
J	Boyer, P.; Lienard, P.								Why Ritualized Behavior? Precaution System and Action Parsing in Developmental, Pathological and Cultural Rituals								Behavioral and Brain Sciences				29				1	56		DOI 10.1017/S0140525X06009332				2006										54									
J	Boyer, P ; Lienard, P 								Why ritualized behavior? Precaution Systems and action parsings in developmental, pathological and cultural rituals								Behavioral and Brain Sciences				26				1	56						2006										1									
J	Boyer, P								Cultural transmission with an evolved intuitive ontology: Domain-specific cognitive tracks of inheritance								BEHAVIORAL AND BRAIN SCIENCES				21	4			570	+		10.1017/S0140525X9823127X			AUG 1998	1998										2									
J	Boyer, P								If "tracking" is category-specific a "common structure" may be redundant								BEHAVIORAL AND BRAIN SCIENCES				21	1			67	+		10.1017/S0140525X98240404			FEB 1998	1998										3									
J	Boyer, Pascal; Petersen, Michael Bang								Folk-economic beliefs: An evolutionary cognitive model								BEHAVIORAL AND BRAIN SCIENCES				41						e158	10.1017/S0140525X17001960			2018	2018										7									
J	Boyer, Pascal; Baumard, Nicolas								Projecting WEIRD features on ancient religions								BEHAVIORAL AND BRAIN SCIENCES				39						e6	10.1017/S0140525X15000369			2016	2016										2									
J	Boyer, Pascal								Extending the range of adaptive misbelief: Memory "distortions" as functional features								BEHAVIORAL AND BRAIN SCIENCES				32	6			513	+		10.1017/S0140525X09991397			DEC 2009	2009										5									
J	Boyer, Pascal; Lienard, Pierre								Why ritualized behavior? Precaution systems and action parsing in developmental, pathological and cultural rituals								BEHAVIORAL AND BRAIN SCIENCES				29	6			595	+		10.1017/S0140525X06009332			DEC 2006	2006										196									
J	Boyer, Pascal; Lienard, Pierre								Precaution systems and ritualized behavior								BEHAVIORAL AND BRAIN SCIENCES				29	6			635	650		10.1017/S0140525X06009575			DEC 2006	2006										16									
J	Boyer, Pascal								Prosocial aspects of afterlife beliefs: Maybe another by-product								BEHAVIORAL AND BRAIN SCIENCES				29	5			466	+		10.1017/S0140525X06269103			OCT 2006	2006										7									
J	BOYLLS, CC								POSTURAL CONTROL ANALYSIS - ADOPTING A STANCE								BEHAVIORAL AND BRAIN SCIENCES				8	1			150	151		10.1017/S0140525X0002001X			1985	1985										2									
J	BOYNTON, RM								ON RAW PERCEPTION OF THE STIMULUS ITSELF								BEHAVIORAL AND BRAIN SCIENCES				6	1			15	15		10.1017/S0140525X00014321			1983	1983										1									
J	BOYSEN, ST								KANTING PROCESSES IN THE CHIMPANZEE - WHAT (AND WHO) REALLY COUNTS								BEHAVIORAL AND BRAIN SCIENCES				11	4			580	580		10.1017/S0140525X00053449			DEC 1988	1988										2									
J	BRAATEN, RF								PROTOCOUNTING AS A LAST RESORT								BEHAVIORAL AND BRAIN SCIENCES				11	4			581	581		10.1017/S0140525X00053450			DEC 1988	1988										1									
J	BRACE, CL								THE CONSEQUENCES OF GROUP SELECTION IN A DOMAIN WITHOUT GENETIC INPUT - CULTURE								BEHAVIORAL AND BRAIN SCIENCES				17	4			611	612		10.1017/S0140525X0003613X			DEC 1994	1994										1									
J	BRACE, CL								POP SCIENCE VERSUS UNDERSTANDING THE EMERGENCE OF THE MODERN MIND								BEHAVIORAL AND BRAIN SCIENCES				16	4			750	751		10.1017/S0140525X00032672			DEC 1993	1993										6									
J	BRACE, CL								SOCIAL BIAS IN MENTAL TESTING								BEHAVIORAL AND BRAIN SCIENCES				3	3			333	334		10.1017/S0140525X00005173			1980	1980										1									
J	BRACEWELL, RM								THE EXPRESS SACCADE - AUTOBAHN OR SHORT-CIRCUIT OF THE BRAIN								BEHAVIORAL AND BRAIN SCIENCES				16	3			571	572					SEP 1993	1993										1									
J	BRACEWELL, RM								SEEING DOUBLE - DICHOTOMIZING THE VISUAL-SYSTEM - COMMENTARY								BEHAVIORAL AND BRAIN SCIENCES				13	3			543	543		10.1017/S0140525X00080031			SEP 1990	1990										1									
J	BRADDICK, OJ								DIRECT PERCEPTION - AN OPPONENT AND A PRECURSOR OF COMPUTATIONAL THEORIES								BEHAVIORAL AND BRAIN SCIENCES				3	3			381	382		10.1017/S0140525X00005471			1980	1980										2									
J	BRADSHAW, CM								VALIDATION OF BEHAVIORAL EQUATIONS - CAN NEUROBIOLOGY HELP								BEHAVIORAL AND BRAIN SCIENCES				17	1			136	137		10.1017/S0140525X00033641			MAR 1994	1994										1									
J	BRADSHAW, JL								BUT WHAT ABOUT NONPRIMATE ASYMMETRIES AND NONMANUAL PRIMATE ASYMMETRIES								BEHAVIORAL AND BRAIN SCIENCES				10	2			264	265		10.1017/S0140525X00047713			JUN 1987	1987										1									
J	BRADSHAW, JL								READING AND THE RIGHT HEMISPHERE								BEHAVIORAL AND BRAIN SCIENCES				8	2			367	367		10.1017/S0140525X00021142			1985	1985										1									
J	BRADSHAW, JL; NETTLETON, NC								HEMISPHERIC-SPECIALIZATION - RETURN TO A HOUSE DIVIDED								BEHAVIORAL AND BRAIN SCIENCES				6	3			528	530		10.1017/S0140525X00073775			1983	1983										9									
J	BRADSHAW, JL								HEMISPHERIC LATERALITY AND AN EVOLUTIONARY PERSPECTIVE								BEHAVIORAL AND BRAIN SCIENCES				4	1			21	22		10.1017/S0140525X00007354			1981	1981										1									
J	BRADSHAW, JL; NETTLETON, NC								THE NATURE OF HEMISPHERIC-SPECIALIZATION IN MAN								BEHAVIORAL AND BRAIN SCIENCES				4	1			51	63		10.1017/S0140525X00007548			1981	1981										515									
J	BRADSHAW, JL; NETTLETON, NC								DOUBLE TROUBLE - AN EVOLUTIONARY CUT AT THE DICHOTOMY PIE								BEHAVIORAL AND BRAIN SCIENCES				4	1			79	84		10.1017/S0140525X00007743			1981	1981										2									
J	BRADSHAW, JL								IN 2 MINDS								BEHAVIORAL AND BRAIN SCIENCES				4	1			101	102		10.1017/S0140525X00007792			1981	1981										2									
J	BRADSHAW, JL								SEX AND SIDE - A DOUBLE DICHOTOMY INTERACTS								BEHAVIORAL AND BRAIN SCIENCES				3	2			229	230		10.1017/S0140525X00004441			1980	1980										5									
J	BRADSHAW, JL								HANDEDNESS AND HUMAN CEREBRAL ASYMMETRY - SOME UNANSWERED QUESTIONS								BEHAVIORAL AND BRAIN SCIENCES				1	2			286	287		10.1017/S0140525X00074562			1978	1978										2									
J	BRAFORD, MR								PARCELLATION - AN EXPLANATION OF THE ARRANGEMENT OF APPLES AND ORANGES ON A SEVERELY PRUNED PHYLOGENETIC TREE								BEHAVIORAL AND BRAIN SCIENCES				7	3			332	333		10.1017/S0140525X00018392			1984	1984										1									
J	Brain, PF								Aggression in female mammals: Is it really rare?								BEHAVIORAL AND BRAIN SCIENCES				22	2			218	+		10.1017/S0140525X9926181X			APR 1999	1999										3									
J	Brain, PF								Androgens and human behaviour: A complex relationship								BEHAVIORAL AND BRAIN SCIENCES				21	3			363	+		10.1017/S0140525X98231220			JUN 1998	1998										5									
J	BRAIN, PF								THE CONCEPT OF DOMINANCE ALSO HAS PROBLEMS IN STUDIES ON RODENTS								BEHAVIORAL AND BRAIN SCIENCES				4	3			434	435		10.1017/S0140525X00009675			1981	1981										6									
J	BRAIN, PF								DIVIDING UP AGGRESSION AND CONSIDERATIONS IN STUDYING THE PHYSIOLOGICAL SUBSTRATES OF THESE PHENOMENA								BEHAVIORAL AND BRAIN SCIENCES				2	2			216	216		10.1017/S0140525X00061987			1979	1979										2									
J	BRAINE, LG								IS THERE ANY NEWS HERE								BEHAVIORAL AND BRAIN SCIENCES				11	2			185	186		10.1017/S0140525X00049281			JUN 1988	1988										4									
J	BRAINE, MDS								MENTAL MODELS CANNOT EXCLUDE MENTAL LOGIC, AND MAKE LITTLE SENSE WITHOUT IT								BEHAVIORAL AND BRAIN SCIENCES				16	2			338	339		10.1017/S0140525X00030326			JUN 1993	1993										5									
J	Brainerd, C. J.								Kissing cousins but not identical twins: The denominator neglect and base-rate respect models								BEHAVIORAL AND BRAIN SCIENCES				30	3			257	+		10.1017/S0140525X07001689			JUN 2007	2007										2									
J	BRAINERD, CJ								FURTHER REPLIES ON INVARIANT SEQUENCES, EXPLANATION, AND OTHER STAGE CRITERIA								BEHAVIORAL AND BRAIN SCIENCES				2	1			149	154		10.1017/S0140525X0006163X			1979	1979										4									
J	BRAINERD, CJ								RECAPITULATIONISM, PIAGET, AND THE EVOLUTION OF INTELLIGENCE - DEJA VU								BEHAVIORAL AND BRAIN SCIENCES				2	3			381	382		10.1017/S0140525X00063081			1979	1979										2									
J	BRAINERD, CJ								STAGE QUESTION IN COGNITIVE-DEVELOPMENTAL THEORY								BEHAVIORAL AND BRAIN SCIENCES				1	2			173	181		10.1017/S0140525X00073842			1978	1978										104									
J	BRAINERD, CJ								INVARIANT SEQUENCES, EXPLANATION, AND OTHER STAGE CRITERIA - REFLECTIONS AND REPLIES								BEHAVIORAL AND BRAIN SCIENCES				1	2			207	213		10.1017/S0140525X00074124			1978	1978										5									
J	Braitenberg, V; Heck, D; Sultan, F								The detection and generation of sequences as a key to cerebellar function: Experiments and theory								BEHAVIORAL AND BRAIN SCIENCES				20	2			229	&		10.1017/S0140525X9700143X			JUN 1997	1997										155									
